query_id	doc_id	relevance
LAM-000228	049_2140	1
LAM-000229	049_2141	1
LAM-000230	049_2144	1
LAM-000231	049_2145	1
LAM-000232	049_2148	1
LAM-000233	049_2149	1
LAM-000234	049_2152	1
LAM-000235	049_2153	1
LAM-000236	049_2156	1
LAM-000237	049_2157	1
LAM-000238	049_2160	1
LAM-000239	049_2161	1
LAM-000240	049_2164	1
LAM-000241	049_2168	1
LAM-000242	049_2169	1
LAM-000243	049_2170	1
LAM-000244	049_2172	1
LAM-000245	049_2173	1
LAM-000246	049_2176	1
LAM-000247	049_2177	1
LAM-000248	049_2180	1
LAM-000249	049_2181	1
LAM-000250	049_2184	1
LAM-000251	049_2185	1
LAM-000252	049_2186	1
LAM-000253	049_2188	1
LAM-000254	049_2189	1
LAM-000255	049_2192	1
LAM-000256	049_2193	1
LAM-000257	049_2196	1
LAM-000258	049_2197	1
LAM-000259	049_2198	1
LAM-000260	049_2200	1
LAM-000261	049_2204	1
LAM-000262	049_2205	1
LAM-000263	049_2208	1
LAM-000264	049_2209	1
LAM-000265	049_2210	1
LAM-000266	049_2212	1
LAM-000267	049_2213	1
LAM-000268	049_2216	1
LAM-000269	049_2218	1
LAM-000270	049_2219	1
LAM-000271	049_2222	1
LAM-000272	049_2226	1
LAM-000273	049_2230	1
LAM-000274	049_2231	1
LAM-000275	049_2234	1
LAM-000276	049_2238	1
LAM-000277	049_2239	1
LAM-000278	049_2242	1
LAM-000279	049_2243	1
LAM-000280	049_2246	1
LAM-000281	049_2247	1
LAM-000282	049_2250	1
LAM-000283	049_2251	1
LAM-000284	049_2254	1
LAM-000285	049_2255	1
LAM-000286	049_2258	1
LAM-000287	049_2259	1
LAM-000288	049_2262	1
LAM-000289	049_2263	1
LAM-000290	049_2266	1
LAM-000291	049_2267	1
LAM-000292	049_2268	1
LAM-000293	049_2269	1
LAM-000294	049_2270	1
LAM-000295	049_2271	1
LAM-000296	049_2272	1
LAM-000297	049_2273	1
LAM-000298	049_2274	1
LAM-000299	049_2276	1
LAM-000300	049_2277	1
LAM-000301	049_2278	1
LAM-000302	049_2279	1
LAM-000303	049_2280	1
LAM-000304	049_2281	1
LAM-000305	049_2284	1
LAM-000306	049_2285	1
LAM-000307	049_2288	1
LAM-000308	049_2289	1
LAM-000309	049_2290	1
LAM-000310	049_2292	1
LAM-000311	049_2293	1
LAM-000312	049_2296	1
LAM-000313	049_2297	1
LAM-000314	049_2300	1
LAM-000315	049_2304	1
LAM-000316	049_2305	1
LAM-000317	049_2308	1
LAM-000318	049_2309	1
LAM-000319	049_2312	1
LAM-000320	049_2313	1
LAM-000321	049_2316	1
LAM-000322	049_2318	1
LAM-000323	049_2319	1
LAM-000324	049_2320	1
LAM-000325	049_2324	1
LAM-000326	049_2325	1
LAM-000327	049_2328	1
LAM-000328	049_2332	1
LAM-000329	049_2336	1
LAM-000330	049_2337	1
LAM-000331	049_2340	1
LAM-000332	049_2341	1
LAM-000333	049_2344	1
LAM-000334	049_2345	1
LAM-000335	049_2348	1
LAM-000336	049_2349	1
LAM-000337	049_2352	1
LAM-000338	049_2356	1
LAM-000339	082_4197	1
LAM-000340	076_3959	1
LAM-000341	076_3960	1
LAM-000342	076_3961	1
LAM-000343	076_3962	1
LAM-000344	076_3963	1
LAM-000345	076_3966	1
LAM-000346	076_3967	1
LAM-000347	076_3968	1
LAM-000348	076_3970	1
LAM-000349	076_3973	1
LAM-000350	076_3974	1
LAM-000351	076_3977	1
LAM-000352	076_3978	1
LAM-000353	076_3979	1
LAM-000354	076_3981	1
LAM-000355	076_3982	1
LAM-000356	076_3983	1
LAM-000357	076_3985	1
LAM-000358	076_3986	1
LAM-000359	076_3987	1
LAM-000360	076_3989	1
LAM-000361	076_3990	1
LAM-000362	076_3991	1
LAM-000363	076_3993	1
LAM-000364	076_3995	1
LAM-000365	076_3996	1
LAM-000366	076_3999	1
LAM-000367	076_4000	1
LAM-000368	076_4003	1
LAM-000369	076_4004	1
LAM-000370	076_4005	1
LAM-000371	076_4006	1
LAM-000372	076_4008	1
LAM-000373	076_4009	1
LAM-000374	076_4015	1
LAM-000375	076_4016	1
LAM-000376	076_4019	1
LAM-000377	076_4020	1
LAM-000378	076_4023	1
LAM-000379	076_4024	1
LAM-000380	076_4027	1
LAM-000381	076_4028	1
LAM-000382	076_4031	1
LAM-000383	076_4032	1
LAM-000384	076_4034	1
LAM-000385	076_4035	1
LAM-000386	076_4036	1
LAM-000387	076_4037	1
LAM-000388	076_4038	1
LAM-000389	076_4039	1
LAM-000390	076_4041	1
LAM-000391	076_4043	1
LAM-000392	076_4044	1
LAM-000393	076_4045	1
LAM-000394	076_4046	1
LAM-000395	076_4047	1
LAM-000396	076_4048	1
LAM-000397	076_4049	1
LAM-000398	076_4051	1
LAM-000399	076_4052	1
LAM-000400	076_4054	1
LAM-000401	076_4055	1
LAM-000402	076_4056	1
LAM-000403	076_4057	1
LAM-000404	076_4058	1
LAM-000405	076_4059	1
LAM-000406	076_4060	1
LAM-000407	076_4061	1
LAM-000408	076_4063	1
LAM-000409	076_4066	1
LAM-000410	076_4067	1
LAM-000411	076_4068	1
LAM-000412	076_4070	1
LAM-000413	076_4071	1
LAM-000414	076_4072	1
LAM-000415	076_4075	1
LAM-000416	076_4076	1
LAM-000417	076_4077	1
LAM-000418	076_4078	1
LAM-000419	076_4081	1
LAM-000420	076_4082	1
LAM-000421	076_4084	1
LAM-000422	076_4085	1
LAM-000423	076_4087	1
LAM-000424	076_4088	1
LAM-000425	076_4090	1
LAM-000426	076_4091	1
LAM-000427	076_4094	1
LAM-000428	076_4095	1
LAM-000429	076_4098	1
LAM-000430	076_4099	1
LAM-000431	076_4100	1
LAM-000432	076_4102	1
LAM-000433	076_4103	1
LAM-000434	076_4105	1
LAM-000435	076_4106	1
LAM-000436	040_1690	1
LAM-000437	040_1692	1
LAM-000438	040_1693	1
LAM-000439	040_1694	1
LAM-000440	040_1695	1
LAM-000441	040_1696	1
LAM-000442	040_1697	1
LAM-000443	040_1698	1
LAM-000444	040_1699	1
LAM-000445	040_1700	1
LAM-000446	040_1702	1
LAM-000447	040_1705	1
LAM-000448	040_1706	1
LAM-000449	040_1707	1
LAM-000450	040_1708	1
LAM-000451	040_1709	1
LAM-000452	040_1710	1
LAM-000453	040_1712	1
LAM-000454	040_1714	1
LAM-000455	040_1715	1
LAM-000456	040_1718	1
LAM-000457	040_1720	1
LAM-000458	040_1721	1
LAM-000459	040_1722	1
LAM-000460	040_1723	1
LAM-000461	040_1724	1
LAM-000462	040_1725	1
LAM-000463	040_1726	1
LAM-000464	040_1728	1
LAM-000465	040_1730	1
LAM-000466	040_1731	1
LAM-000467	040_1732	1
LAM-000468	040_1734	1
LAM-000469	040_1735	1
LAM-000470	040_1736	1
LAM-000471	040_1738	1
LAM-000472	040_1739	1
LAM-000473	040_1740	1
LAM-000474	040_1742	1
LAM-000475	040_1743	1
LAM-000476	040_1744	1
LAM-000477	078_4113	1
LAM-000478	091_4366	1
LAM-000479	054_2397	1
LAM-000480	054_2399	1
LAM-000481	054_2400	1
LAM-000482	054_2401	1
LAM-000483	053_2385	1
LAM-000484	053_2386	1
LAM-000485	053_2387	1
LAM-000486	053_2388	1
LAM-000487	038_1484	1
LAM-000488	038_1485	1
LAM-000489	038_1486	1
LAM-000490	038_1487	1
LAM-000491	038_1488	1
LAM-000492	038_1490	1
LAM-000493	038_1491	1
LAM-000494	038_1492	1
LAM-000495	038_1493	1
LAM-000496	038_1494	1
LAM-000497	038_1496	1
LAM-000498	038_1497	1
LAM-000499	038_1498	1
LAM-000500	038_1500	1
LAM-000501	038_1501	1
LAM-000502	038_1502	1
LAM-000503	038_1504	1
LAM-000504	038_1505	1
LAM-000505	038_1506	1
LAM-000506	038_1507	1
LAM-000507	038_1508	1
LAM-000508	038_1509	1
LAM-000509	038_1510	1
LAM-000510	038_1512	1
LAM-000511	038_1513	1
LAM-000512	038_1514	1
LAM-000513	038_1515	1
LAM-000514	038_1516	1
LAM-000515	038_1518	1
LAM-000516	038_1519	1
LAM-000517	038_1520	1
LAM-000518	038_1521	1
LAM-000519	038_1522	1
LAM-000520	038_1524	1
LAM-000521	038_1525	1
LAM-000522	038_1526	1
LAM-000523	038_1527	1
LAM-000524	038_1528	1
LAM-000525	038_1529	1
LAM-000526	038_1530	1
LAM-000527	038_1532	1
LAM-000528	038_1533	1
LAM-000529	038_1534	1
LAM-000530	038_1536	1
LAM-000531	038_1538	1
LAM-000532	038_1539	1
LAM-000533	038_1540	1
LAM-000534	038_1542	1
LAM-000535	038_1544	1
LAM-000536	038_1546	1
LAM-000537	038_1547	1
LAM-000538	038_1548	1
LAM-000539	038_1550	1
LAM-000540	038_1551	1
LAM-000541	038_1552	1
LAM-000542	038_1553	1
LAM-000543	038_1554	1
LAM-000544	038_1555	1
LAM-000545	038_1556	1
LAM-000546	038_1557	1
LAM-000547	038_1558	1
LAM-000548	038_1559	1
LAM-000549	038_1560	1
LAM-000550	038_1561	1
LAM-000551	038_1562	1
LAM-000552	038_1563	1
LAM-000553	038_1564	1
LAM-000554	038_1565	1
LAM-000555	038_1566	1
LAM-000556	038_1567	1
LAM-000557	038_1568	1
LAM-000558	038_1569	1
LAM-000559	007_304	1
LAM-000560	007_305	1
LAM-000561	007_306	1
LAM-000562	009_336	1
LAM-000563	009_337	1
LAM-000564	009_338	1
LAM-000565	009_339	1
LAM-000566	009_340	1
LAM-000567	009_341	1
LAM-000568	009_342	1
LAM-000569	036_1338	1
LAM-000570	036_1339	1
LAM-000571	031_1144	1
LAM-000572	031_1146	1
LAM-000573	052_2379	1
LAM-000574	052_2380	1
LAM-000575	055_2411	1
LAM-000576	055_2412	1
LAM-000577	030_1130	1
LAM-000578	030_1131	1
LAM-000579	030_1132	1
LAM-000580	030_1134	1
LAM-000581	030_1135	1
LAM-000582	030_1136	1
LAM-000583	030_1137	1
LAM-000584	008_312	1
LAM-000585	008_313	1
LAM-000586	008_315	1
LAM-000587	008_316	1
LAM-000588	008_319	1
LAM-000589	008_320	1
LAM-000590	008_323	1
LAM-000591	008_324	1
LAM-000592	008_325	1
LAM-000593	008_327	1
LAM-000594	008_328	1
LAM-000595	008_329	1
LAM-000596	008_331	1
LAM-000597	037_1346	1
LAM-000598	037_1348	1
LAM-000599	037_1350	1
LAM-000600	037_1351	1
LAM-000601	037_1352	1
LAM-000602	037_1354	1
LAM-000603	037_1357	1
LAM-000604	037_1358	1
LAM-000605	037_1359	1
LAM-000606	037_1361	1
LAM-000607	037_1362	1
LAM-000608	037_1365	1
LAM-000609	037_1366	1
LAM-000610	037_1367	1
LAM-000611	037_1370	1
LAM-000612	037_1371	1
LAM-000613	037_1374	1
LAM-000614	037_1378	1
LAM-000615	037_1382	1
LAM-000616	037_1383	1
LAM-000617	037_1385	1
LAM-000618	037_1386	1
LAM-000619	037_1389	1
LAM-000620	037_1390	1
LAM-000621	037_1392	1
LAM-000622	037_1393	1
LAM-000623	037_1395	1
LAM-000624	037_1396	1
LAM-000625	037_1399	1
LAM-000626	037_1400	1
LAM-000627	037_1402	1
LAM-000628	037_1403	1
LAM-000629	037_1406	1
LAM-000630	037_1409	1
LAM-000631	037_1410	1
LAM-000632	037_1413	1
LAM-000633	037_1414	1
LAM-000634	037_1415	1
LAM-000635	037_1418	1
LAM-000636	037_1419	1
LAM-000637	037_1420	1
LAM-000638	037_1423	1
LAM-000639	037_1424	1
LAM-000640	037_1427	1
LAM-000641	037_1428	1
LAM-000642	037_1429	1
LAM-000643	037_1430	1
LAM-000644	037_1431	1
LAM-000645	037_1433	1
LAM-000646	037_1434	1
LAM-000647	037_1435	1
LAM-000648	037_1438	1
LAM-000649	037_1440	1
LAM-000650	037_1442	1
LAM-000651	037_1446	1
LAM-000652	037_1448	1
LAM-000653	037_1450	1
LAM-000654	037_1452	1
LAM-000655	037_1455	1
LAM-000656	037_1456	1
LAM-000657	037_1459	1
LAM-000658	037_1460	1
LAM-000659	037_1463	1
LAM-000660	037_1464	1
LAM-000661	037_1467	1
LAM-000662	037_1468	1
LAM-000663	037_1471	1
LAM-000664	037_1472	1
LAM-000665	037_1476	1
LAM-000666	037_1478	1
LAM-000667	039_1574	1
LAM-000668	039_1575	1
LAM-000669	039_1576	1
LAM-000670	039_1577	1
LAM-000671	039_1578	1
LAM-000672	039_1579	1
LAM-000673	039_1580	1
LAM-000674	039_1582	1
LAM-000675	039_1583	1
LAM-000676	039_1584	1
LAM-000677	039_1586	1
LAM-000678	039_1587	1
LAM-000679	039_1588	1
LAM-000680	039_1590	1
LAM-000681	039_1591	1
LAM-000682	039_1592	1
LAM-000683	039_1594	1
LAM-000684	039_1595	1
LAM-000685	039_1596	1
LAM-000686	039_1597	1
LAM-000687	039_1598	1
LAM-000688	039_1599	1
LAM-000689	039_1600	1
LAM-000690	039_1602	1
LAM-000691	039_1604	1
LAM-000692	039_1605	1
LAM-000693	039_1606	1
LAM-000694	039_1608	1
LAM-000695	039_1610	1
LAM-000696	039_1611	1
LAM-000697	039_1612	1
LAM-000698	039_1613	1
LAM-000699	039_1614	1
LAM-000700	039_1615	1
LAM-000701	039_1616	1
LAM-000702	039_1617	1
LAM-000703	039_1618	1
LAM-000704	039_1620	1
LAM-000705	039_1621	1
LAM-000706	039_1622	1
LAM-000707	039_1623	1
LAM-000708	039_1626	1
LAM-000709	039_1627	1
LAM-000710	039_1628	1
LAM-000711	039_1629	1
LAM-000712	039_1630	1
LAM-000713	039_1631	1
LAM-000714	039_1632	1
LAM-000715	039_1633	1
LAM-000716	039_1634	1
LAM-000717	039_1635	1
LAM-000718	039_1636	1
LAM-000719	039_1637	1
LAM-000720	039_1638	1
LAM-000721	039_1639	1
LAM-000722	039_1640	1
LAM-000723	039_1641	1
LAM-000724	039_1642	1
LAM-000725	039_1644	1
LAM-000726	039_1645	1
LAM-000727	039_1646	1
LAM-000728	039_1647	1
LAM-000729	039_1648	1
LAM-000730	039_1649	1
LAM-000731	039_1650	1
LAM-000732	039_1652	1
LAM-000733	039_1653	1
LAM-000734	039_1654	1
LAM-000735	039_1655	1
LAM-000736	039_1656	1
LAM-000737	039_1658	1
LAM-000738	039_1659	1
LAM-000739	039_1660	1
LAM-000740	039_1662	1
LAM-000741	039_1663	1
LAM-000742	039_1664	1
LAM-000743	039_1665	1
LAM-000744	039_1666	1
LAM-000745	039_1667	1
LAM-000746	039_1668	1
LAM-000747	039_1670	1
LAM-000748	039_1671	1
LAM-000749	039_1672	1
LAM-000750	039_1673	1
LAM-000751	039_1674	1
LAM-000752	039_1676	1
LAM-000753	039_1677	1
LAM-000754	039_1678	1
LAM-000755	039_1679	1
LAM-000756	039_1680	1
LAM-000757	039_1681	1
LAM-000758	039_1682	1
LAM-000759	039_1683	1
LAM-000760	039_1684	1
LAM-000761	006_284	1
LAM-000762	006_285	1
LAM-000763	006_286	1
LAM-000764	006_287	1
LAM-000765	006_288	1
LAM-000766	006_289	1
LAM-000767	006_290	1
LAM-000768	006_291	1
LAM-000769	006_292	1
LAM-000770	006_293	1
LAM-000771	006_294	1
LAM-000772	006_295	1
LAM-000773	006_296	1
LAM-000774	006_297	1
LAM-000775	006_299	1
LAM-000776	089_4269	1
LAM-000777	089_4270	1
LAM-000778	089_4271	1
LAM-000779	089_4272	1
LAM-000780	089_4273	1
LAM-000781	042_1794	1
LAM-000782	042_1924	1
LAM-000783	042_1927	1
LAM-000784	042_1928	1
LAM-000785	042_1932	1
LAM-000786	042_1935	1
LAM-000787	087_4251	1
LAM-000788	073_3927	1
LAM-000789	073_3928	1
LAM-000790	073_3929	1
LAM-000791	073_3931	1
LAM-000792	074_3941	1
LAM-000793	074_3942	1
LAM-000794	080_4131	1
LAM-000795	080_4132	1
LAM-000796	080_4133	1
LAM-000797	080_4134	1
LAM-000798	080_4135	1
LAM-000799	080_4136	1
LAM-000800	080_4137	1
LAM-000801	080_4138	1
LAM-000802	080_4139	1
LAM-000803	080_4140	1
LAM-000804	080_4141	1
LAM-000805	080_4142	1
LAM-000806	080_4143	1
LAM-000807	080_4144	1
LAM-000808	080_4145	1
LAM-000809	080_4146	1
LAM-000810	080_4147	1
LAM-000811	080_4148	1
LAM-000812	080_4154	1
LAM-000813	027_1044	1
LAM-000814	027_1045	1
LAM-000815	027_1046	1
LAM-000816	027_1047	1
LAM-000817	027_1048	1
LAM-000818	027_1049	1
LAM-000819	027_1050	1
LAM-000820	027_1051	1
LAM-000821	027_1052	1
LAM-000822	027_1053	1
LAM-000823	027_1055	1
LAM-000824	011_358	1
LAM-000825	016_426	1
LAM-000826	016_427	1
LAM-000827	016_428	1
LAM-000828	016_429	1
LAM-000829	029_1118	1
LAM-000830	029_1121	1
LAM-000831	029_1122	1
LAM-000832	029_1125	1
LAM-000833	081_4190	1
LAM-000834	075_3951	1
LAM-000835	075_3952	1
LAM-000836	075_3954	1
LAM-000837	072_3902	1
LAM-000838	072_3904	1
LAM-000839	072_3905	1
LAM-000840	072_3906	1
LAM-000841	072_3908	1
LAM-000842	072_3909	1
LAM-000843	072_3910	1
LAM-000844	072_3911	1
LAM-000845	072_3913	1
LAM-000846	072_3914	1
LAM-000847	072_3915	1
LAM-000848	072_3916	1
LAM-000849	086_4239	1
LAM-000850	044_1821	1
LAM-000851	044_1822	1
LAM-000852	044_1823	1
LAM-000853	044_1824	1
LAM-000854	044_1829	1
LAM-000855	044_1830	1
LAM-000856	044_1831	1
LAM-000857	044_1837	1
LAM-000858	044_1843	1
LAM-000859	044_1851	1
LAM-000860	044_1852	1
LAM-000861	044_1861	1
LAM-000862	044_1863	1
LAM-000863	044_1866	1
LAM-000864	088_4256	1
LAM-000865	088_4257	1
LAM-000866	088_4258	1
LAM-000867	088_4259	1
LAM-000868	088_4260	1
LAM-000869	088_4261	1
LAM-000870	088_4262	1
LAM-000871	088_4263	1
LAM-000872	088_4264	1
LAM-000873	088_4265	1
LAM-000874	088_4266	1
LAM-000875	088_4267	1
LAM-000876	043_1797	1
LAM-000877	043_1798	1
LAM-000878	043_1799	1
LAM-000879	043_1800	1
LAM-000880	043_1801	1
LAM-000881	043_1802	1
LAM-000882	043_1803	1
LAM-000883	043_1804	1
LAM-000884	043_1805	1
LAM-000885	043_1806	1
LAM-000886	043_1807	1
LAM-000887	043_1808	1
LAM-000888	017_434	1
LAM-000889	017_435	1
LAM-000890	017_436	1
LAM-000891	028_1068	1
LAM-000892	028_1071	1
LAM-000893	028_1072	1
LAM-000894	028_1076	1
LAM-000895	028_1080	1
LAM-000896	028_1083	1
LAM-000897	028_1084	1
LAM-000898	028_1087	1
LAM-000899	028_1088	1
LAM-000900	028_1092	1
LAM-000901	028_1093	1
LAM-000902	028_1096	1
LAM-000903	028_1099	1
LAM-000904	028_1100	1
LAM-000905	028_1103	1
LAM-000906	028_1104	1
LAM-000907	028_1105	1
LAM-000908	028_1108	1
LAM-000909	028_1111	1
LAM-000910	010_350	1
LAM-000911	010_351	1
LAM-000912	026_1000	1
LAM-000913	026_1001	1
LAM-000914	026_1002	1
LAM-000915	026_994	1
LAM-000916	026_995	1
LAM-000917	026_996	1
LAM-000918	019_460	1
LAM-000919	019_461	1
LAM-000920	021_800	1
LAM-000921	021_802	1
LAM-000922	021_804	1
LAM-000923	021_805	1
LAM-000924	021_808	1
LAM-000925	021_809	1
LAM-000926	021_812	1
LAM-000927	021_816	1
LAM-000928	021_820	1
LAM-000929	021_822	1
LAM-000930	021_826	1
LAM-000931	021_830	1
LAM-000932	021_831	1
LAM-000933	021_834	1
LAM-000934	021_838	1
LAM-000935	021_842	1
LAM-000936	021_843	1
LAM-000937	021_845	1
LAM-000938	021_846	1
LAM-000939	021_847	1
LAM-000940	021_850	1
LAM-000941	021_851	1
LAM-000942	021_854	1
LAM-000943	021_856	1
LAM-000944	021_860	1
LAM-000945	021_861	1
LAM-000946	021_864	1
LAM-000947	021_867	1
LAM-000948	021_868	1
LAM-000949	021_872	1
LAM-000950	021_875	1
LAM-000951	021_876	1
LAM-000952	021_877	1
LAM-000953	021_880	1
LAM-000954	021_881	1
LAM-000955	021_884	1
LAM-000956	021_885	1
LAM-000957	021_886	1
LAM-000958	021_887	1
LAM-000959	021_888	1
LAM-000960	021_889	1
LAM-000961	021_890	1
LAM-000962	021_891	1
LAM-000963	021_892	1
LAM-000964	021_893	1
LAM-000965	021_894	1
LAM-000966	021_895	1
LAM-000967	021_896	1
LAM-000968	003_12	1
LAM-000969	003_13	1
LAM-000970	003_15	1
LAM-000971	003_16	1
LAM-000972	003_17	1
LAM-000973	003_18	1
LAM-000974	003_19	1
LAM-000975	003_20	1
LAM-000976	003_21	1
LAM-000977	003_23	1
LAM-000978	003_24	1
LAM-000979	003_25	1
LAM-000980	003_26	1
LAM-000981	003_27	1
LAM-000982	003_28	1
LAM-000983	003_29	1
LAM-000984	003_31	1
LAM-000985	003_32	1
LAM-000986	003_33	1
LAM-000987	003_34	1
LAM-000988	003_35	1
LAM-000989	003_36	1
LAM-000990	003_37	1
LAM-000991	003_38	1
LAM-000992	003_39	1
LAM-000993	003_40	1
LAM-000994	003_41	1
LAM-000995	003_42	1
LAM-000996	003_43	1
LAM-000997	032_1156	1
LAM-000998	032_1157	1
LAM-000999	032_1158	1
LAM-001000	032_1159	1
LAM-001001	032_1160	1
LAM-001002	032_1161	1
LAM-001003	032_1164	1
LAM-001004	032_1165	1
LAM-001005	032_1166	1
LAM-001006	032_1168	1
LAM-001007	032_1169	1
LAM-001008	032_1170	1
LAM-001009	032_1172	1
